index,service_week,service_year,service_yearmonth,service_date,betos_cd,betos_desc,pos_cd,pos_desc,spec_cd,spec_desc,paid_amount,utilization
0,2017-01,2017,2017-01-01,2017-01-02 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,06,Physician/Cardiovascular Disease (Cardiology),2.94,1
1,2017-01,2017,2017-01-01,2017-01-02 00:00:00,T1G,Lab tests - other (Medicare fee schedule),22,On Campus- Outpatient Hospital,22,Physician/Pathology,0.0,1
2,2017-01,2017,2017-01-01,2017-01-02 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),81,Independent Laboratory,69,Clinical Laboratory,19.18,1
3,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,10,Physician/Gastroenterology,5.88,2
4,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,11,Physician/Internal Medicine,5.88,2
5,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,34,Physician/Urology,8.82,3
6,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,44,Physician/Infectious Disease,8.82,3
7,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,46,Physician/Endocrinology,11.76,4
8,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,97,Physician Assistant,2.94,1
9,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,81,Independent Laboratory,69,Clinical Laboratory,2.94,1
10,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1B,Lab tests - automated general profiles,11,Office,11,Physician/Internal Medicine,16.65,2
11,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1B,Lab tests - automated general profiles,11,Office,44,Physician/Infectious Disease,11.47,1
12,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1B,Lab tests - automated general profiles,11,Office,46,Physician/Endocrinology,19.54,2
13,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1B,Lab tests - automated general profiles,11,Office,97,Physician Assistant,8.07,1
14,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1C,Lab tests - urinalysis,11,Office,08,Physician/Family Practice,3.43,1
15,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1C,Lab tests - urinalysis,11,Office,11,Physician/Internal Medicine,4.26,1
16,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1C,Lab tests - urinalysis,11,Office,34,Physician/Urology,12.78,3
17,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1C,Lab tests - urinalysis,11,Office,44,Physician/Infectious Disease,4.26,1
18,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1C,Lab tests - urinalysis,11,Office,50,Nurse Practitioner,3.43,1
19,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1C,Lab tests - urinalysis,20,Urgent Care Facility,93,Physician/Emergency Medicine,3.0,1
20,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1D,Lab tests - blood counts,11,Office,10,Physician/Gastroenterology,10.45,1
21,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1D,Lab tests - blood counts,11,Office,44,Physician/Infectious Disease,10.45,1
22,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1E,Lab tests - glucose,11,Office,46,Physician/Endocrinology,133.16,3
23,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1F,Lab tests - bacterial cultures,81,Independent Laboratory,69,Clinical Laboratory,31.96,3
24,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1G,Lab tests - other (Medicare fee schedule),11,Office,07,Physician/Dermatology,558.44,17
25,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1G,Lab tests - other (Medicare fee schedule),11,Office,22,Physician/Pathology,109.5,2
26,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,08,Physician/Family Practice,16.11,1
27,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,10,Physician/Gastroenterology,61.28,4
28,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,11,Physician/Internal Medicine,61.72,4
29,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,34,Physician/Urology,24.73,1
30,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,44,Physician/Infectious Disease,19.2,3
31,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,46,Physician/Endocrinology,68.73,7
32,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,97,Physician Assistant,27.47,2
33,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),22,On Campus- Outpatient Hospital,22,Physician/Pathology,0.0,2
34,2017-01,2017,2017-01-01,2017-01-03 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),81,Independent Laboratory,69,Clinical Laboratory,341.62,18
35,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,06,Physician/Cardiovascular Disease (Cardiology),2.94,1
36,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,08,Physician/Family Practice,2.94,1
37,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,10,Physician/Gastroenterology,2.94,1
38,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,11,Physician/Internal Medicine,11.76,4
39,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,29,Physician/Pulmonary Disease,2.94,1
40,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,34,Physician/Urology,17.64,6
41,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,46,Physician/Endocrinology,8.82,3
42,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,66,Physician/Rheumatology,2.94,1
