betos_cd,betos_desc,pos_cd,pos_desc,spec_cd,spec_desc
T1D,Lab tests - blood counts,11,Office,82,Physician/Hematology
T1H,Lab tests - other (non-Medicare fee schedule),11,Office,50,Nurse Practitioner
T1C,Lab tests - urinalysis,32,Nursing Facility,69,Clinical Laboratory
T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,46,Physician/Endocrinology
T1A,Lab tests - routine venipuncture (non Medicare fee schedu,20,Urgent Care Facility,08,Physician/Family Practice
T1E,Lab tests - glucose,20,Urgent Care Facility,08,Physician/Family Practice
T1D,Lab tests - blood counts,11,Office,90,Physician/Medical Oncology
T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,82,Physician/Hematology
T1G,Lab tests - other (Medicare fee schedule),11,Office,07,Physician/Dermatology
T1G,Lab tests - other (Medicare fee schedule),11,Office,46,Physician/Endocrinology
T1E,Lab tests - glucose,81,Independent Laboratory,69,Clinical Laboratory
T1G,Lab tests - other (Medicare fee schedule),20,Urgent Care Facility,50,Nurse Practitioner
T1C,Lab tests - urinalysis,11,Office,66,Physician/Rheumatology
T1E,Lab tests - glucose,11,Office,97,Physician Assistant
T1B,Lab tests - automated general profiles,13,Assisted Living Facility,69,Clinical Laboratory
T1C,Lab tests - urinalysis,11,Office,46,Physician/Endocrinology
T1C,Lab tests - urinalysis,11,Office,44,Physician/Infectious Disease
T1G,Lab tests - other (Medicare fee schedule),81,Independent Laboratory,10,Physician/Gastroenterology
T1H,Lab tests - other (non-Medicare fee schedule),11,Office,21,Clinical Cardiac Electrophysiology
T1B,Lab tests - automated general profiles,11,Office,66,Physician/Rheumatology
T1D,Lab tests - blood counts,11,Office,46,Physician/Endocrinology
T1F,Lab tests - bacterial cultures,81,Independent Laboratory,22,Physician/Pathology
T1F,Lab tests - bacterial cultures,11,Office,34,Physician/Urology
T1B,Lab tests - automated general profiles,11,Office,03,Physician/Allergy/ Immunology
T1E,Lab tests - glucose,11,Office,06,Physician/Cardiovascular Disease (Cardiology)
T1A,Lab tests - routine venipuncture (non Medicare fee schedu,20,Urgent Care Facility,97,Physician Assistant
T1B,Lab tests - automated general profiles,11,Office,40,Physician/Hand Surgery
T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,06,Physician/Cardiovascular Disease (Cardiology)
T1H,Lab tests - other (non-Medicare fee schedule),11,Office,18,Physician/Ophthalmology
T1G,Lab tests - other (Medicare fee schedule),21,Inpatient Hospital,69,Clinical Laboratory
T1H,Lab tests - other (non-Medicare fee schedule),11,Office,34,Physician/Urology
T1G,Lab tests - other (Medicare fee schedule),20,Urgent Care Facility,11,Physician/Internal Medicine
T1H,Lab tests - other (non-Medicare fee schedule),11,Office,94,Physician/Interventional Radiology
T1D,Lab tests - blood counts,12,Home,97,Physician Assistant
T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,81,Physician/Critical Care (Intensivists)
T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,21,Clinical Cardiac Electrophysiology
T1A,Lab tests - routine venipuncture (non Medicare fee schedu,19,Off Campus- Outpatient Hospital,08,Physician/Family Practice
T1F,Lab tests - bacterial cultures,81,Independent Laboratory,69,Clinical Laboratory
T1H,Lab tests - other (non-Medicare fee schedule),19,Off Campus- Outpatient Hospital,08,Physician/Family Practice
T1G,Lab tests - other (Medicare fee schedule),19,Off Campus- Outpatient Hospital,97,Physician Assistant
T1B,Lab tests - automated general profiles,81,Independent Laboratory,11,Physician/Internal Medicine
T1H,Lab tests - other (non-Medicare fee schedule),11,Office,93,Physician/Emergency Medicine
T1G,Lab tests - other (Medicare fee schedule),81,Independent Laboratory,07,Physician/Dermatology
T1H,Lab tests - other (non-Medicare fee schedule),11,Office,29,Physician/Pulmonary Disease
T1G,Lab tests - other (Medicare fee schedule),11,Office,34,Physician/Urology
T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,44,Physician/Infectious Disease
T1G,Lab tests - other (Medicare fee schedule),19,Off Campus- Outpatient Hospital,08,Physician/Family Practice
T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,48,Podiatry
T1C,Lab tests - urinalysis,11,Office,83,Physician/Hematology-Oncology
T1F,Lab tests - bacterial cultures,20,Urgent Care Facility,97,Physician Assistant
T1B,Lab tests - automated general profiles,12,Home,97,Physician Assistant
T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,04,Physician/Otolaryngology
T1E,Lab tests - glucose,22,On Campus- Outpatient Hospital,04,Physician/Otolaryngology
T1G,Lab tests - other (Medicare fee schedule),20,Urgent Care Facility,93,Physician/Emergency Medicine
T1G,Lab tests - other (Medicare fee schedule),11,Office,08,Physician/Family Practice
T1G,Lab tests - other (Medicare fee schedule),22,On Campus- Outpatient Hospital,07,Physician/Dermatology
T1D,Lab tests - blood counts,20,Urgent Care Facility,22,Physician/Pathology
T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,97,Physician Assistant
T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,03,Physician/Allergy/ Immunology
T1B,Lab tests - automated general profiles,11,Office,81,Physician/Critical Care (Intensivists)
T1C,Lab tests - urinalysis,11,Office,99,Physician/Undefined Physician type[6]
T1H,Lab tests - other (non-Medicare fee schedule),11,Office,46,Physician/Endocrinology
T1B,Lab tests - automated general profiles,11,Office,10,Physician/Gastroenterology
T1D,Lab tests - blood counts,11,Office,50,Nurse Practitioner
