service_week,total_metric,num_data_points,prev_total_metric,prev_num_data_points,rolling_mean,rolling_std,z_score,is_outlier_z,is_outlier_metric,is_outlier_count,is_outlier
2017-01,1749.83,17,1749.83,17,1893.4150000000002,740.6849740836745,0.19385434432180015,False,False,False,False
2017-02,2749.5600000000004,32,1749.83,17,1891.9260000000002,641.4606447242107,1.3370017429030754,False,False,False,False
2017-03,2102.1000000000004,28,2749.5600000000004,32,1786.8733333333337,628.8034538921258,0.5013119198304297,False,False,False,False
2017-04,972.1700000000002,25,2102.1000000000004,28,2021.4357142857145,845.3587366291531,1.2412076303483124,False,True,False,True
2017-05,1885.9700000000003,29,972.1700000000002,25,2034.65,841.1178309250135,0.17676477008755126,False,False,False,False
2017-06,1261.6100000000001,26,1885.9700000000003,29,1787.0828571428572,850.6074943770928,0.617761847404913,False,False,False,False
2017-07,3428.8099999999995,32,1261.6100000000001,26,1905.6257142857141,953.4325954475778,1.5975794125218095,False,True,False,True
2017-08,1842.3300000000004,22,3428.8099999999995,32,2003.6757142857143,873.3677471309386,0.1847397214011435,False,False,False,False
2017-09,1016.5900000000001,24,1842.3300000000004,22,2083.8328571428574,886.4155360159682,1.2039983662060179,False,False,False,False
2017-10,2931.9,29,1016.5900000000001,24,2146.9257142857145,832.1974252314798,0.9432548838948175,False,True,False,True
2017-11,1658.52,30,2931.9,29,1976.1242857142856,621.1976821392994,0.5112773193559099,False,False,False,False
2017-12,2447.0700000000006,34,1658.52,30,1934.7228571428573,640.9446795866834,0.7993625022170917,False,False,False,False
2017-13,1703.2600000000004,27,2447.0700000000006,34,2583.387142857143,1402.3293426618711,0.6276180039037792,False,False,False,False
2017-14,2233.2,27,1703.2600000000004,27,2338.6057142857144,1478.816343542555,0.07127708234087513,False,False,False,False
2017-15,1552.5200000000002,29,2233.2,27,2426.0400000000004,1449.7118695221245,0.6025473187909697,False,False,False,False
2017-16,5557.24,29,1552.5200000000002,29,2304.2685714285717,1483.0668044115946,2.1934085631847458,True,True,False,True
2017-17,1218.43,23,5557.24,29,2590.5128571428572,1540.0071609759295,0.8909587513043408,False,True,False,True
2017-18,2270.56,24,1218.43,23,2519.9785714285713,1570.1127998058882,0.15885391894098738,False,False,False,False
2017-19,1594.6699999999998,25,2270.56,24,2643.6242857142856,1514.3162797651962,0.692691678568583,False,False,False,False
2017-20,3706.9700000000003,24,1594.6699999999998,25,2114.4100000000003,809.8137514679946,1.9665756442306364,False,True,False,True
2017-21,1739.46,28,3706.9700000000003,24,2903.877142857143,1835.246877513707,0.6344743898622687,False,True,False,True
2017-22,2418.04,22,1739.46,28,2929.2057142857147,1826.251027103131,0.279898933224172,False,False,False,False
2017-23,1852.74,29,2418.04,22,2897.1914285714292,1855.2781552319732,0.5629621766558434,False,False,False,False
2017-24,6744.700000000002,35,1852.74,29,2638.974285714286,1849.5655423716603,2.2198325067307576,True,True,False,True
2017-25,2447.86,22,6744.700000000002,35,2723.011428571429,1814.923036186646,0.1516050119400944,False,True,False,True
2017-26,1370.57,27,2447.86,22,2604.580000000001,1864.5115861175732,0.6618408859392232,False,False,False,False
2017-27,1899.45,20,1370.57,27,2694.2514285714287,1837.220787262005,0.43261073142761175,False,False,False,False
2017-28,2327.7200000000007,25,1899.45,20,2117.6357142857146,503.14806014588936,0.41753969130552054,False,False,False,False
2017-29,1589.0200000000002,23,2327.7200000000007,25,2027.4728571428573,490.5005309448125,0.8938886494134877,False,False,False,False
