service_week,total_metric,num_data_points,prev_total_metric,prev_num_data_points,rolling_mean,rolling_std,z_score,is_outlier_z,is_outlier_metric,is_outlier_count,is_outlier
2017-04,2.94,1,2.94,1,2.94,0.0,0.0,False,False,False,False
2017-05,2.94,1,2.94,1,2.94,0.0,0.0,False,False,False,False
2017-07,2.94,1,2.94,1,3.8200000000000003,2.155550973649197,0.4082482904638631,False,False,False,False
2017-09,2.94,1,2.94,1,4.868571428571428,3.401251870372773,0.5670181162914169,False,False,False,False
2017-10,2.94,1,2.94,1,5.622857142857143,3.486668487662276,0.7694614937871341,False,False,False,False
2017-12,8.22,2,2.94,1,6.042857142857144,3.2806184086018217,0.6636379444297337,False,False,False,False
2017-13,11.16,2,8.22,2,6.042857142857144,3.280618408601821,1.559810444191146,False,False,False,False
2017-14,8.22,2,11.16,2,6.882857142857143,3.1016216956387748,0.43111087951926236,False,False,False,False
2017-17,5.88,2,8.22,2,6.882857142857143,3.1016216956387748,0.3233331596394465,False,False,False,False
2017-18,2.94,1,5.88,2,6.128571428571428,3.353999744441596,0.9506773021839602,False,False,False,False
2017-20,8.82,2,2.94,1,5.3742857142857146,2.525198719195892,1.3645319314954814,False,False,False,False
2017-23,2.94,1,8.82,2,4.62,2.3131796298601626,0.726273039202563,False,False,False,False
2017-24,2.94,1,2.94,1,4.2,2.3131796298601635,0.5447047794019222,False,False,False,False
2017-26,5.88,1,2.94,1,4.2,2.3131796298601635,0.7262730392025626,False,False,False,False
2017-27,2.94,1,5.88,1,3.7800000000000002,1.4345731072343437,0.5855400437691202,False,False,False,False
2017-28,2.94,1,2.94,1,3.7800000000000002,1.4345731072343437,0.5855400437691202,False,False,False,False
2017-31,2.94,1,2.94,1,3.7800000000000002,1.4345731072343437,0.5855400437691202,False,False,False,False
2017-33,5.88,2,2.94,1,3.3600000000000003,1.1112155506471282,2.2677868380553625,True,False,False,True
2017-35,2.94,1,5.88,2,3.3600000000000003,1.111215550647128,0.3779644730092276,False,False,False,False
2017-38,2.94,1,2.94,1,3.3600000000000003,1.1112155506471282,0.37796447300922753,False,False,False,False
2017-42,2.94,1,2.94,1,3.6185714285714288,1.203916228694624,0.5636367484697725,False,False,False,False
2017-44,2.94,1,2.94,1,3.457142857142857,0.8831895660184226,0.5855400437691196,False,False,False,False
2017-48,2.94,1,2.94,1,3.7157142857142853,0.9674856957229763,0.8017837257372727,False,False,False,False
2018-10,4.75,1,2.94,1,5.058571428571428,3.335912811467692,0.09249984817069201,False,False,False,False
2018-12,4.75,1,4.75,1,6.401428571428572,4.136783889977933,0.3992059085874514,False,False,False,False
2018-14,4.75,1,4.75,1,7.324285714285714,3.952344692891623,0.6513312765750473,False,False,False,False
2018-26,12.34,2,4.75,1,7.324285714285714,3.952344692891622,1.2690477869339578,False,False,False,False
2018-38,12.34,2,12.34,2,7.9885714285714275,3.8366410160079205,1.1341766282726904,False,False,False,False
2018-39,9.4,1,12.34,2,8.528333333333332,3.900832817061847,0.22345655595750896,False,False,False,False
2018-45,2.94,1,9.4,1,9.283999999999999,3.838994660064012,1.6525159740373847,False,False,False,False
2018-46,9.4,1,2.94,1,8.520000000000001,3.9697858884327757,0.22167442394416204,False,False,False,False
